CYP,model,features,ST_RAE,RMSE,R2,MAE,Spearman
CYP1A2,lgbm,both,0.9815314423559921,0.9049194052790612,0.22829458670262504,0.675763039001045,0.49382296906807793
CYP1A2,xgb,both,0.9317558815993008,0.8920499729663776,0.2500883289574879,0.6613503402908995,0.5148167826133472
CYP1A2,lgbm,fp,1.117041513550177,0.9773146312212732,0.09987972326271066,0.7386529432417311,0.3949716035057603
CYP1A2,hgb,descr,0.9938013507854347,0.9262349732839623,0.19151103901394972,0.6866381186490634,0.46419551754633204
CYP2C9,lgbm,both,0.8054875093456947,0.6249596302186234,0.36129336878160967,0.48198312780237307,0.5814478988264637
CYP2C9,xgb,both,0.7969745772562401,0.6349604855351757,0.34068813007495846,0.4829078801985762,0.5679933738973137
CYP2C9,lgbm,fp,1.0795575564900326,0.7428740973305417,0.09754007205879511,0.5747018601347726,0.36257673614258956
CYP2C9,hgb,descr,0.85380350440585,0.6487548909723588,0.3117300859523271,0.5019755691323818,0.5385801615746582
CYP2D6,lgbm,both,1.0757627589252599,0.8735899616871866,0.09003615201328263,0.6325682557963639,0.3483077075031017
CYP2D6,xgb,both,1.0424954538692826,0.866878050786963,0.10396518917968356,0.6260210209168692,0.35781221887130127
CYP2D6,lgbm,fp,1.1962397109270113,0.9085533879348122,0.01574014257156986,0.6790472912230712,0.3171791583912582
CYP2D6,hgb,descr,1.0691659157602555,0.8648884753424926,0.10807345580645955,0.6326581392913747,0.3279435301798262
CYP3A4,lgbm,both,0.5721114505017958,0.7181610261216052,0.568267141370715,0.5542498075850578,0.7523958878697491
CYP3A4,xgb,both,0.5562518090837357,0.7118737101628358,0.5757934723078808,0.5488991225955564,0.7576677441699562
CYP3A4,lgbm,fp,0.7479924623983436,0.8625946716905987,0.3771478320932615,0.6843515453937973,0.6144826102125814
CYP3A4,hgb,descr,0.6034650601965822,0.743539874984532,0.5372142622871656,0.5738624341090497,0.727086024899948
